FOLIO,P3_5,Ingreso mensual por trabajo,Registra ingresos y gastos,Anotaciones de gastos,Dinero separado para pagos y gastos diarios,Ingreso suficiente para cubrir gastos desde julio 2020,Préstamos a conocidos,Uso de ahorros,Reducción de gastos,Venta o empeño de bienes,Adelanto salarial/trabajo extra,Uso de tarjeta de crédito o préstamo bancario,Cursos sobre ahorro y presupuestos,Conocimiento básico de inflación,Enfoque en el presente,Gasto del dinero,Revisión detallada del dinero,Optimismo económico,Dinero suficiente para gastos,Tranquilidad financiera,Cuenta de ahorro,Ahorro en cuenta,Seguro,SEXO,EDAD,GRUPO_EDAD,Grupo_Ingreso
1,No trabajó,,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,83,71+,
2,Trabajó por lo menos una hora,1250.0,No,No,No,No,Sí,No,No,Sí,No,No,No,No sabe,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,33,31-50,+1k
3,Trabajó por lo menos una hora,1000.0,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,30,31-50,+1k
4,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,Sí,No,No,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,64,51-70,
5,No trabajó,,No,No,No,No,Sí,Sí,No,Sí,No,No,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,70,71+,
6,Trabajó por lo menos una hora,2300.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,20,18-30,+1k
7,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,70,71+,
8,Trabajó por lo menos una hora,2000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,28,18-30,+1k
9,Trabajó por lo menos una hora,17000.0,Sí,Sí,Sí,Sí,,,,,,,Sí,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,Sí,Hombre,45,31-50,+10k
10,Trabajó por lo menos una hora,15000.0,Sí,No,Sí,Sí,,,,,,,No,Falsa,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,29,18-30,+10k
11,Es jubilada(o) o pensionada(o),,No,Sí,Sí,No,No,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Hombre,77,71+,
12,Trabajó por lo menos una hora,3800.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,33,31-50,+1k
13,No trabajó,,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,80,71+,
14,No trabajó,,No,No,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,62,51-70,
15,No trabajó,,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Mujer,56,51-70,
16,Trabajó por lo menos una hora,450.0,No,No,No,No,Sí,No,Sí,No,No,No,No,Verdadera,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,51,51-70,0-1k
17,Es jubilada(o) o pensionada(o),,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,68,51-70,
18,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,No,No,Sí,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Mujer,72,71+,
19,Trabajó por lo menos una hora,5000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,37,31-50,+5k
20,No trabajó,3000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No,,Sí,Mujer,32,31-50,+1k
21,Trabajó por lo menos una hora,2000.0,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,Sí,Hombre,67,51-70,+1k
22,Trabajó por lo menos una hora,13000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,No,Hombre,20,18-30,+10k
23,Es jubilada(o) o pensionada(o),,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Mujer,49,31-50,
24,Está incapacitada(o) permanentemente para trabajar,,Sí,Sí,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Mujer,83,71+,
24,Trabajó por lo menos una hora,99888.0,No,Sí,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Mujer,49,31-50,No responde
25,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,Sí,Mujer,57,51-70,
26,Trabajó por lo menos una hora,40000.0,Sí,Sí,No,Sí,,,,,,,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,No,,Sí,Mujer,63,51-70,+40k
27,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,Sí,,,,,,,Sí,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,Sí,Mujer,50,51-70,
28,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,Sí,Sí,Sí,No,No,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,No,,No,Mujer,60,51-70,
29,Trabajó por lo menos una hora,1500.0,Sí,No,Sí,Sí,,,,,,,No,Falsa,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,Sí,Hombre,41,31-50,+1k
30,Es jubilada(o) o pensionada(o),,No,No,No,No,No,No,No,No,No,No,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Hombre,65,51-70,
31,Trabajó por lo menos una hora,15000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Hombre,34,31-50,+10k
32,Trabajó por lo menos una hora,1400.0,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,No responde,De acuerdo,No,,No,Mujer,38,31-50,+1k
33,Trabajó por lo menos una hora,1000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,63,51-70,+1k
34,Trabajó por lo menos una hora,8000.0,No,No,Sí,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Mujer,35,31-50,+5k
35,Trabajó por lo menos una hora,3500.0,No,No,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,No,Hombre,67,51-70,+1k
36,Trabajó por lo menos una hora,3000.0,Sí,Sí,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,No,Hombre,34,31-50,+1k
37,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Verdadera,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,No,,Sí,Mujer,27,18-30,
38,No trabajó,,No,No,No,Sí,,,,,,,No,Verdadera,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,No,,No,Hombre,73,71+,
39,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,Sí,No,No,Sí,Sí,No,No,No,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,No,,No,Mujer,75,71+,
40,Trabajó por lo menos una hora,1400.0,Sí,No,No,No,Sí,No,Sí,No,Sí,No,No,Verdadera,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,No,,No,Mujer,57,51-70,+1k
41,Es jubilada(o) o pensionada(o),,No,No,No,Sí,,,,,,,No,Verdadera,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,70,71+,
42,Se dedica a los quehaceres del hogar o a cuidar a sus hijas o hijos,,No,No,No,No,No,No,Sí,No,No,No,No,Falsa,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,No,,No,Mujer,22,18-30,
43,Trabajó por lo menos una hora,3000.0,Sí,Sí,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Mujer,69,51-70,+1k
44,Trabajó por lo menos una hora,11500.0,Sí,No,Sí,Sí,,,,,,,No,Verdadera,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,Sí,Hombre,25,18-30,+10k
45,Trabajó por lo menos una hora,1150.0,No,No,No,Sí,,,,,,,No,Verdadera,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,No,,No,Hombre,39,31-50,+1k
