nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Llave de identificación de la persona elegida,12,C,LLAVEMOD,,010001601101...326080020102
Llave de identificación de la vivienda,9,C,LLAVEVIV,,010001601...326080020
Llave de identificación del hogar,10,C,LLAVEHOG,,0100016011...3260800201
Verificación de edad de la persona elegida,2,C,EDAD_V,edad_v,"18...95,97,98"
Pregunta FILTRO.S5.1 ¿La persona informante del hogar es la elegida? (3.1 y 3.6 = 1),1,C,FILTRO_S5_1,filtro_s5_1,"1,2"
Pregunta P5.1 ¿Usted habla algún dialecto o lengua indígena?,1,C,P5_1,p5_1,"1,2"
"Pregunta P5.2.1 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para ver, aun usando lentes?",1,C,P5_2_1,p5_2_1,"1...4,9"
"Pregunta P5.2.2 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para oír, aun usando aparato auditivo?",1,C,P5_2_2,p5_2_2,"1...4,9"
"Pregunta P5.2.3 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para mover o usar sus brazos o manos?",1,C,P5_2_3,p5_2_3,"1...4,9"
"Pregunta P5.2.4 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para caminar, subir o bajar usando sus piernas?",1,C,P5_2_4,p5_2_4,"1...4,9"
"Pregunta P5.2.5 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para recordar o concentrarse?",1,C,P5_2_5,p5_2_5,"1...4,9"
"Pregunta P5.2.6 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para bañarse, vestirse o comer?",1,C,P5_2_6,p5_2_6,"1...4,9"
"Pregunta P5.2.7 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para hablar o comunicarse (por ejemplo, entender o ser entendido por otros)?",1,C,P5_2_7,p5_2_7,"1...4,9"
"Pregunta P5.2.8 (Entregue la tarjeta 2). En su vida diaria, ¿usted cuánta dificultad tiene para realizar sus actividades diarias por problemas emocionales o mentales (con autonomía e independencia)? Problemas como autismo, depresión, bipolaridad, esquizofrenia, etcétera",1,C,P5_2_8,p5_2_8,"1...4,9"
Pregunta P5.3 ¿Actualmente usted...?,1,C,P5_3,p5_3,1...6
